"","DRUG_NAME","DRUG_ID","DRUG_TARGET","TARGET_PATHWAY","FEATURE_NAME","N_FEATURE_POS","N_FEATURE_NEG","IC50_EFFECT_SIZE","LOG_IC50_MEAN_POS","LOG_IC50_MEAN_NEG","LOG_MAX_CONC_TESTED","LOG_MAX_CONC_TESTED_2","FEATURE_IC50_T_PVAL","FEATURE_DELTA_MEAN_IC50","FEATURE_POS_IC50_VAR","FEATURE_NEG_IC50_VAR","FEATURE_PVAL","TISSUE_PVAL","MSI_PVAL","FDR","TISSUE_TYPE","SCREENING_SET","SIGNED_EFFECT_SIZE"
"1","Camptothecin",1003,"TOP1","DNA replication","ABCB1_mut",16,949,0.559181740162974,-1.24891146507163,-2.27463619718738,NA,NA,0.0203169887961266,1.02572473211575,1.57156468181071,1.83818745018249,0.0637821870470495,0,0.104659103587608,63.4499391171971,"PANCANCER","GDSC2",0.559181740162974
"2","Camptothecin",1003,"TOP1","DNA replication","ACACA_mut",11,954,0.159295282244519,-1.96806427687716,-2.2609681630255,NA,NA,0.531191606709826,0.292903886148334,1.48644083269965,1.84208765943923,0.848725336182624,0,0.105289801545903,91.3802482074155,"PANCANCER","GDSC2",0.159295282244519
"3","Camptothecin",1003,"TOP1","DNA replication","AFF4_mut",10,955,0.0268393888692977,-2.20878308084055,-2.25814084163724,NA,NA,0.919103058964853,0.0493577607966937,1.48372475929604,1.84203009373405,0.850894675094606,0,0.105289996307114,91.3802482074155,"PANCANCER","GDSC2",0.0268393888692977
"4","Camptothecin",1003,"TOP1","DNA replication","AHNAK_mut",15,950,0.102944371703584,-2.44398736541553,-2.25468686746394,NA,NA,0.649735574830203,-0.189300497951592,1.56427730731865,1.84260657175934,0.718351058140686,0,0.105272395346348,89.1281559653235,"PANCANCER","GDSC2",-0.102944371703584
"5","Camptothecin",1003,"TOP1","DNA replication","ALK_mut",13,952,0.317999855221542,-2.83416843990413,-2.24975645467775,NA,NA,0.338260656574584,-0.584411985226381,2.10353078736111,1.83417499382088,0.948844388779461,0,0.105295796393743,93.1015433198668,"PANCANCER","GDSC2",-0.317999855221542
"6","Vinblastine",1004,"Microtubule destabiliser","Mitosis","ABCB1_mut",12,727,0.150241466212769,-3.16746045830301,-3.49494378904791,NA,NA,0.722066318725948,0.327483330744904,3.09727744393745,2.16281923170011,0.680785556923342,0,0.00220750918186114,77.6829992339913,"PANCANCER","GDSC2",0.150241466212769
"7","Vinblastine",1004,"Microtubule destabiliser","Mitosis","ACACA_mut",10,729,0.278851280410416,-4.08901363001499,-3.48140401075078,NA,NA,0.414433915453214,-0.60760961926421,2.23404256513223,2.17828423901746,0.270718517533464,0,0.0021910919909231,67.2526824911514,"PANCANCER","GDSC2",-0.278851280410416
"8","Vinblastine",1004,"Microtubule destabiliser","Mitosis","AFF4_mut",9,730,0.223037494485895,-3.96980589575504,-3.48370603708996,NA,NA,0.552426277566539,-0.486099858665077,2.34131128058427,2.17761059650973,0.780784998097036,0,0.00220895767562322,78.934356697202,"PANCANCER","GDSC2",-0.223037494485895
"9","Vinblastine",1004,"Microtubule destabiliser","Mitosis","AHNAK_mut",11,728,0.137001495771862,-3.78381762664962,-3.48518086022572,NA,NA,0.571519153303417,-0.298636766423907,1.67454247376856,2.18594248528347,0.667057080466601,0,0.00220725960865271,77.3426365785406,"PANCANCER","GDSC2",-0.137001495771862
"10","Vinblastine",1004,"Microtubule destabiliser","Mitosis","ALK_mut",10,729,0.556825663531045,-4.6846618416408,-3.47323325338966,NA,NA,0.0394213729107021,-1.21142858825114,1.58413072338546,2.18190661540819,0.317975955032173,0,0.00219447849380671,69.3064448696842,"PANCANCER","GDSC2",-0.556825663531045
